"LOCATION","Country","CAT","Category","ACT","Activity","UNIT","Unit","VAR","Variable","SRC","Source","TIME","Time","Value","Flag Codes","Flags"
"DNK","Denmark","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR511","Unnecessary edible food waste (e.)","SOURCE22","CONCITO","2011","2011",19.746,,
"NOR","Norway","FLFW","1. Food loss - Food waste","PRODUCERS","Producers","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE46","Halfdan K. Olafssøn","2011","2011",12,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR511","Unnecessary edible food waste (e.)","SOURCE22","CONCITO","2011","2011",21.541,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR262","Food Waste - Edible","SOURCE22","CONCITO","2011","2011",54.3887,,
"DEU","Germany","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE85","University Stuttgart - M. Kranert & al.","2011","2011",22.616136919,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","FOODINDUSTRY","Food Industry","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE76","SMED","2010","2010",18.2339,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE15","Buzby & al., 2012","2008","2008",64,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR64","Food Loss - Added fats and oils","SOURCE15","Buzby & al., 2012","2008","2008",8.1,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR67","Food Loss - Added sugar and sweetners","SOURCE15","Buzby & al., 2012","2008","2008",6.8,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR75","Food Loss - Dairy products","SOURCE15","Buzby & al., 2012","2008","2008",14,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR81","Food Loss - Eggs","SOURCE15","Buzby & al., 2012","2008","2008",1.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR88","Food Loss - Fish and seafood","SOURCE15","Buzby & al., 2012","2008","2008",0.6,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR96","Food Loss - Fruit","SOURCE15","Buzby & al., 2012","2008","2008",8.6,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR100","Food Loss - Grain products","SOURCE15","Buzby & al., 2012","2008","2008",10.7,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR104","Food Loss - Meat","SOURCE15","Buzby & al., 2012","2008","2008",2.2,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR106","Food Loss - Meat + poultry and fish","SOURCE15","Buzby & al., 2012","2008","2008",4.1,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR115","Food Loss - Poultry","SOURCE15","Buzby & al., 2012","2008","2008",1.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR128","Food Loss - Tree nuts and peanuts","SOURCE15","Buzby & al., 2012","2008","2008",0.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR132","Food Loss - Vegetables","SOURCE15","Buzby & al., 2012","2008","2008",10.3,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE16","Buzby & al., 2014","2010","2010",63.049340055,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR64","Food Loss - Added fats and oils","SOURCE16","Buzby & al., 2014","2010","2010",8.1646627409,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR66","Food Loss - Added sugar and sweeteners","SOURCE16","Buzby & al., 2014","2010","2010",6.3502932429,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR81","Food Loss - Eggs","SOURCE16","Buzby & al., 2014","2010","2010",0.90718474899,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR87","Food Loss - Fish and seafodd","SOURCE16","Buzby & al., 2014","2010","2010",0.4535923745,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR89","Food Loss - Fluid milk","SOURCE16","Buzby & al., 2014","2010","2010",9.5254398644,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR92","Food Loss - Fresh Fruit","SOURCE16","Buzby & al., 2014","2010","2010",6.3502932429,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR94","Food Loss - Fresh vegetables","SOURCE16","Buzby & al., 2014","2010","2010",7.7110703664,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR100","Food Loss - Grain products","SOURCE16","Buzby & al., 2014","2010","2010",10.432624613,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR104","Food Loss - Meat","SOURCE16","Buzby & al., 2014","2010","2010",2.2679618725,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR114","Food Loss - Other Dairy products","SOURCE16","Buzby & al., 2014","2010","2010",4.0823313705,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR115","Food Loss - Poultry","SOURCE16","Buzby & al., 2014","2010","2010",1.3607771235,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR117","Food Loss - Processed Fruit","SOURCE16","Buzby & al., 2014","2010","2010",2.2679618725,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR119","Food Loss - Processed vegetables","SOURCE16","Buzby & al., 2014","2010","2010",2.721554247,,
"USA","United States","FLFW","1. Food loss - Food waste","WHOLESALEANDRETAIL","Wholesale & Retail","KGBYCAPITA","kg/capita","FWVAR128","Food Loss - Tree nuts and peanuts","SOURCE16","Buzby & al., 2014","2010","2010",0.4535923745,,
"NOR","Norway","FLFW","1. Food loss - Food waste","WHOLESALE","Wholesale","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE46","Halfdan K. Olafssøn","2011","2011",0.07,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","RETAIL","Retail","KGBYCAPITA","kg/capita","FWVAR511","Unnecessary edible food waste (e.)","SOURCE22","CONCITO","2011","2011",8.975,,
"NOR","Norway","FLFW","1. Food loss - Food waste","RETAIL","Retail","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE46","Halfdan K. Olafssøn","2011","2011",13,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","GROCERYSTORES","Grocery stores","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE76","SMED","2010","2010",4.158,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","INDUSTRIALKITCHENS","Industrial kitchens","KGBYCAPITA","kg/capita","FWVAR511","Unnecessary edible food waste (e.)","SOURCE22","CONCITO","2011","2011",4.128,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","RESTAURANTS","Restaurants","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE76","SMED","2010","2010",10.556,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","SCHOOLCANTINES","School cantines","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE76","SMED","2010","2010",2.772,,
"AUS","Australia","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR263","Food Waste - Edible food","SOURCE61","NSW Government 2009","2009","2009",126,,
"AUT","Austria","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE11","Bio survey (Obersteiner & Schneider (2006), Ademilua (2009))","2006","2006",95,,
"BEL","Belgium","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR384BEL","Food Waste (Walloon region)","SOURCE59","Moins de déchets - Wallonie","2004","2004",27,,
"CAN","Canada","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR264CAN","Food Waste - Edible food (incl bev)","SOURCE79","Statistics Canada","2009","2009",122,,
"CAN","Canada","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR264CAN","Food Waste - Edible food (incl bev)","SOURCE79","Statistics Canada","2010","2010",122.53,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR262","Food Waste - Edible","SOURCE22","CONCITO","2011","2011",43,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE25","Danish Environmental Ministry Food Waste Report (2010)","2006","2006",91,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR8","Animal food refuse","SOURCE26","Danish Environmental Protection Agency","2011","2011",1,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR516","Vegetable food refuse","SOURCE26","Danish Environmental Protection Agency","2011","2011",31,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE26","Danish Environmental Protection Agency","2011","2011",76,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR262","Food Waste - Edible","SOURCE26","Danish Environmental Protection Agency","2011","2011",42,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR309","Food Waste - Non-processed animal","SOURCE26","Danish Environmental Protection Agency","2011","2011",6,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR310","Food Waste - Non-processed vegetables","SOURCE26","Danish Environmental Protection Agency","2011","2011",23,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR331","Food Waste - Processed animal food","SOURCE26","Danish Environmental Protection Agency","2011","2011",6,,
"DNK","Denmark","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR333","Food waste - Processed vegetable food","SOURCE26","Danish Environmental Protection Agency","2011","2011",7,,
"FIN","Finland","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE8","BIO survey - Minimum scenario : 8.375%","2006","2006",41,,
"FIN","Finland","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR289FIN","Food Waste - Kitchen biowaste","SOURCE82","Tarvainen","2009","2009",17,,
"FRA","France","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR485FRA","Total food waste","SOURCE2","ADEME","2007","2007",20,,
"FRA","France","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR274FRA","Food Waste - Food still in packaging","SOURCE2","ADEME","2007","2007",7,,
"DEU","Germany","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR228","Food Waste - Avoidable","SOURCE85","University Stuttgart - M. Kranert & al.","2011","2011",38.4,,
"DEU","Germany","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR323DEU","Food Waste - Partially Avoidable and Avoidable","SOURCE85","University Stuttgart - M. Kranert & al.","2011","2011",40.1,,
"GRC","Greece","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE8","BIO survey - Minimum scenario : 8.375%","2006","2006",37,,
"HUN","Hungary","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE8","BIO survey - Minimum scenario : 8.375%","2006","2006",39,,
"IRL","Ireland","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE10","BIO survey (Irish EPA 'Food Waste Prevention and Home Composting Report' (2009))","2006","2006",69,,
"MEX","Mexico","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR378MEX","Food Waste (Ensenada region)","SOURCE63","Q. aguilar-Virgen et al.","2008","2008",108.405,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE9","BIO survey (Danish Environmental Ministry Food Waste Report (2010))","2006","2006",113,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1993","1993",57,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1994","1994",80,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1995","1995",92,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1996","1996",94,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1997","1997",98,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1998","1998",95,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","1999","1999",92,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2000","2000",92,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2001","2001",88,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2002","2002",87,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2003","2003",83,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2004","2004",87,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2005","2005",84,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2006","2006",79,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2007","2007",80,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2008","2008",79,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2009","2009",79,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2010","2010",76,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE20","CBS 2011","2011","2011",77,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR121","Food Loss - Residual","SOURCE23","CREM 2010","2010","2010",21.8,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR491NET","Unavoidable food waste","SOURCE23","CREM 2010","2010","2010",21,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR135","Food Loss & Waste","SOURCE23","CREM 2010","2010","2010",73,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR136NET","Food Loss & Waste - Residual","SOURCE23","CREM 2010","2010","2010",56.9,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR140NET","Food Loss & Waste disposed through Vegetal, Fruit and Garden Waste","SOURCE23","CREM 2010","2010","2010",9.8,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR153","Food Loss disposed through Vegetal, Fruit and Garden Loss","SOURCE23","CREM 2010","2010","2010",6.7,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE23","CREM 2010","2010","2010",44,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR338","Food Waste - Residual","SOURCE23","CREM 2010","2010","2010",35.1,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR386NET","Food Waste disposed through sink and toilet","SOURCE23","CREM 2010","2010","2010",6.2,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR387","Food Waste disposed through Vegetal, Fruit and Garden Waste","SOURCE23","CREM 2010","2010","2010",3.1,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR421","Liquid food Waste disposed through sink and toilet","SOURCE23","CREM 2010","2010","2010",5.5,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR471NET","Solid food considered food Loss","SOURCE23","CREM 2010","2007","2007",112,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR472NET","Solid food purchased","SOURCE23","CREM 2010","2007","2007",538,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR473NET","Solid food waste - Average weight","SOURCE23","CREM 2010","2007","2007",51,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR474NET","Solid food waste - Maximum weight","SOURCE23","CREM 2010","2007","2007",60,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR475NET","Solid food waste - Minimum weight","SOURCE23","CREM 2010","2007","2007",43,,
