"LOCATION","Country","CAT","Category","ACT","Activity","UNIT","Unit","VAR","Variable","SRC","Source","TIME","Time","Value","Flag Codes","Flags"
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR138","Food Loss & Waste (Min e.)","SOURCE53","LNV 2010","2010","2010",50,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR19","Avoidable food waste","SOURCE55","Mileucentraal 2012","2010","2010",70,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR228","Food Waste - Avoidable","SOURCE55","Mileucentraal 2012","2010","2010",48,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR356","Food Waste - Unavoidable","SOURCE55","Mileucentraal 2012","2010","2010",22,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR381","Food Waste (Max e.)","SOURCE55","Mileucentraal 2012","2010","2010",53,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR383","Food Waste (Min e.)","SOURCE55","Mileucentraal 2012","2010","2010",42,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE98","WUR 2011","2010","2010",28.5,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR121","Food Loss - Residual","SOURCE98","WUR 2011","2010","2010",21.8,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR523","Vegetal, Fruit and Garden waste","SOURCE98","WUR 2011","2010","2010",78,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR134NET","Food Loss - Vegetal, Fruit and Garden Loss","SOURCE98","WUR 2011","2010","2010",6.7,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE98","WUR 2011","2010","2010",38.2,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR338","Food Waste - Residual","SOURCE98","WUR 2011","2010","2010",35.1,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR387","Food Waste disposed through Vegetal, Fruit and Garden Waste","SOURCE98","WUR 2011","2010","2010",3.1,,
"NLD","Netherlands","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR469NET","Residual waste","SOURCE98","WUR 2011","2010","2010",240,,
"NOR","Norway","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE46","Halfdan K. Olafssøn","2011","2011",46.3,,
"PRT","Portugal","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE8","BIO survey - Minimum scenario : 8.375%","2010","2010",120.83333333,,
"PRT","Portugal","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE52","LIPOR","2006","2006",36,,
"PRT","Portugal","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR263","Food Waste - Edible food","SOURCE52","LIPOR","2010","2010",76.125,,
"PRT","Portugal","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE87","VALORGAS","2011","2011",77.142857143,,
"SVK","Slovak Republic","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE8","BIO survey - Minimum scenario : 8.375%","2006","2006",25,,
"ESP","Spain","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE8","BIO survey - Minimum scenario : 8.375%","2006","2006",49,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE18","Calculations from Naturvardsverket (2010)","2006","2006",100,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR512SWE","Unnecessary food waste (e.)","SOURCE49","KFS(2009)","2008","2008",57,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR374SWE","Food Waste (e.)","SOURCE49","KFS(2009)","2008","2008",100,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR228","Food Waste - Avoidable","SOURCE76","SMED","2010","2010",25.154279224,,
"SWE","Sweden","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR228","Food Waste - Avoidable","SOURCE89","Williams et al (2011)","2010","2010",25.261377872,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR43","Discarded food","SOURCE45","Hacettepe University","2005","2005",116.362,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE45","Hacettepe University","2005","2005",0.5017,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR214TUR","Food Waste -  Bread","SOURCE45","Hacettepe University","2005","2005",0.032,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR215TUR","Food Waste -  cereals","SOURCE45","Hacettepe University","2005","2005",0.003,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR216TUR","Food Waste -  cheese","SOURCE45","Hacettepe University","2005","2005",0.0081,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR217TUR","Food Waste -  eggs","SOURCE45","Hacettepe University","2005","2005",0.0102,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR218TUR","Food Waste -  fats","SOURCE45","Hacettepe University","2005","2005",0.0045,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR219TUR","Food Waste -  fish","SOURCE45","Hacettepe University","2005","2005",0.0239,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR220TUR","Food Waste -  Fruit","SOURCE45","Hacettepe University","2005","2005",0.1775,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR221TUR","Food Waste -  legumes/seeds","SOURCE45","Hacettepe University","2005","2005",0.0048,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR222TUR","Food Waste -  poultry","SOURCE45","Hacettepe University","2005","2005",0.0372,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR223TUR","Food Waste -  red meat","SOURCE45","Hacettepe University","2005","2005",0.0009,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR224TUR","Food Waste -  Sugar","SOURCE45","Hacettepe University","2005","2005",0.0003,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR239","Food Waste - Bread ","SOURCE45","Hacettepe University","2005","2005",11.68,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR242","Food Waste - Cereals ","SOURCE45","Hacettepe University","2005","2005",1.095,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR244","Food Waste - Cheese ","SOURCE45","Hacettepe University","2005","2005",2.9565,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR254TUR","Food Waste - Dairy milk and yogurt","SOURCE45","Hacettepe University","2005","2005",0.0278,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR267","Food Waste - Eggs ","SOURCE45","Hacettepe University","2005","2005",3.723,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR270","Food Waste - Fats ","SOURCE45","Hacettepe University","2005","2005",1.6425,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR271","Food Waste - Fish ","SOURCE45","Hacettepe University","2005","2005",8.7235,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR281","Food Waste - Fruit ","SOURCE45","Hacettepe University","2005","2005",64.7875,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR295","Food Waste - Legumes/seeds ","SOURCE45","Hacettepe University","2005","2005",1.752,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR302","Food Waste - Milk and yogurt  ","SOURCE45","Hacettepe University","2005","2005",10.147,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR328","Food Waste - Poultry ","SOURCE45","Hacettepe University","2005","2005",13.578,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR337","Food Waste - Red meat","SOURCE45","Hacettepe University","2005","2005",0.3285,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR349","Food Waste - Sugar","SOURCE45","Hacettepe University","2005","2005",0.1095,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR354TUR","Food Waste - total food","SOURCE45","Hacettepe University","2005","2005",183.1,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR38","Avoidable food waste to landfill (e.)","SOURCE51","Langley et al. 2009","2008","2008",49.64,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE51","Langley et al. 2009","2008","2008",72.635,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR14","Avoidable and possibly avoidable food and drink waste","SOURCE91","WRAP 2009","2007","2007",78.614457831,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE92","WRAP 2010","2006","2006",137,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE94","WRAP 2013","2011","2011",260,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR228","Food Waste - Avoidable","SOURCE94","WRAP 2013","2011","2011",60,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR322","Food Waste - Partially avoidable","SOURCE94","WRAP 2013","2011","2011",45,,
"GBR","United Kingdom","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR356","Food Waste - Unavoidable","SOURCE94","WRAP 2013","2011","2011",160,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE14","Buzby & al., 2011","2008","2008",123.92063109,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR68","Food Loss - Added sweeteners","SOURCE14","Buzby & al., 2011","2008","2008",11,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR75","Food Loss - Dairy products","SOURCE14","Buzby & al., 2011","2008","2008",20.9,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR81","Food Loss - Eggs","SOURCE14","Buzby & al., 2011","2008","2008",2,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR86","Food Loss - Fish","SOURCE14","Buzby & al., 2011","2008","2008",1.8,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR90","Food Loss - Fresh and processed Fruit","SOURCE14","Buzby & al., 2011","2008","2008",13.484225728,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR91","Food Loss - Fresh and processed vegetables","SOURCE14","Buzby & al., 2011","2008","2008",24.586337685,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR100","Food Loss - Grain products","SOURCE14","Buzby & al., 2011","2008","2008",15.687345352,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR104","Food Loss - Meat","SOURCE14","Buzby & al., 2011","2008","2008",16.421221354,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR105","Food Loss - Meat + poultry + fish","SOURCE14","Buzby & al., 2011","2008","2008",30.384256424,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR115","Food Loss - Poultry","SOURCE14","Buzby & al., 2011","2008","2008",12.18204331,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR128","Food Loss - Tree nuts and peanuts","SOURCE14","Buzby & al., 2011","2008","2008",0.4,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR56","Food Loss","SOURCE16","Buzby & al., 2014","2010","2010",131.5417886,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR64","Food Loss - Added fats and oils","SOURCE16","Buzby & al., 2014","2010","2010",6.8038856174,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR66","Food Loss - Added sugar and sweeteners","SOURCE16","Buzby & al., 2014","2010","2010",18.14369498,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR81","Food Loss - Eggs","SOURCE16","Buzby & al., 2014","2010","2010",3.1751466215,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR87","Food Loss - Fish and seafodd","SOURCE16","Buzby & al., 2014","2010","2010",2.2679618725,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR89","Food Loss - Fluid milk","SOURCE16","Buzby & al., 2014","2010","2010",15.422140733,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR92","Food Loss - Fresh Fruit","SOURCE16","Buzby & al., 2014","2010","2010",14.061363609,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR94","Food Loss - Fresh vegetables","SOURCE16","Buzby & al., 2014","2010","2010",18.597287354,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR100","Food Loss - Grain products","SOURCE16","Buzby & al., 2014","2010","2010",16.329325482,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR104","Food Loss - Meat","SOURCE16","Buzby & al., 2014","2010","2010",10.432624613,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR114","Food Loss - Other Dairy products","SOURCE16","Buzby & al., 2014","2010","2010",8.1646627409,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR115","Food Loss - Poultry","SOURCE16","Buzby & al., 2014","2010","2010",5.8967008684,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR117","Food Loss - Processed Fruit","SOURCE16","Buzby & al., 2014","2010","2010",4.0823313705,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR119","Food Loss - Processed vegetables","SOURCE16","Buzby & al., 2014","2010","2010",7.7110703664,,
"USA","United States","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR128","Food Loss - Tree nuts and peanuts","SOURCE16","Buzby & al., 2014","2010","2010",0.4535923745,,
"EST","Estonia","FLFW","1. Food loss - Food waste","HOUSEHOLDS","Households","KGBYCAPITA","kg/capita","FWVAR213","Food Waste","SOURCE17","Calculations from (SEI 2008, EEIC 2008)","2006","2006",61,,
"BEL","Belgium","FLFW","1. Food loss - Food waste","COMBINEDPOST-PRODUCTIONANDPRE","Combined : Post-production and Pre-consumption","KGBYCAPITA","kg/capita","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",9,,
"BEL","Belgium","FLFW","1. Food loss - Food waste","COMBINEDEUROSTATPROXYFORMANUF","Combined: Eurostat proxy for manufacturing of food products - includes tobacco","KGBYCAPITA","kg/capita","FWVAR2","Animal and mixed food waste","SOURCE30","EUROSTAT","2010","2010",52,,
"BEL","Belgium","FLFW","1. Food loss - Food waste","COMBINEDEUROSTATPROXYFORSERVI","Combined: Eurostat proxy for services","KGBYCAPITA","kg/capita","FWVAR2","Animal and mixed food waste","SOURCE30","EUROSTAT","2010","2010",34,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2004","2004",0.239,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2005","2005",0.27,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2006","2006",0.276,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2007","2007",0.297,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2008","2008",0.309,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2009","2009",0.287,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2010","2010",0.277,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR379","Food Waste (generated daily)","SOURCE58","Ministry of Environment","2011","2011",0.266,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2004","2004",87,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2005","2005",98,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2006","2006",101,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2007","2007",109,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2008","2008",113,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2009","2009",105,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2010","2010",101,,
"KOR","Korea","FLFW","1. Food loss - Food waste","TOTAL","Total","KGBYCAPITA","kg/capita","FWVAR380","Food Waste (generated yearly)","SOURCE58","Ministry of Environment","2011","2011",97,,
